"fmla","n","freq","cumulative_freq","AUC","Emax"
"169","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.978,0.82,0.022
"170","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.979,0.832,0.038
"171","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q5_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.98,0.824,0.025
"172","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.981,0.829,0.04
"173","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q6_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.982,0.826,0.042
"174","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q68_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.983,0.823,0.029
"175","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.984,0.835,0.032
"176","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q7_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.985,0.818,0.027
"177","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q7_a+ q5_a+ bis1_standardized",1,0.001,0.986,0.824,0.022
"178","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ q8_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.987,0.837,0.035
"179","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.988,0.825,0.036
"180","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.989,0.832,0.029
"181","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q5_a+ q68_a+ bis1_standardized",1,0.001,0.99,0.827,0.021
"182","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.991,0.838,0.028
"183","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.992,0.832,0.041
"184","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q6_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.993,0.833,0.032
"185","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q6_a+ q5_a+ q22_0_a+ bis1_standardized",1,0.001,0.994,0.826,0.016
"186","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q6_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.995,0.835,0.036
"187","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q6_a+ q5_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized",1,0.001,0.996,0.83,0.044
"188","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q68_a+ AUDIT_C_4_a+ bis1_standardized",1,0.001,0.997,0.827,0.021
"189","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized",1,0.001,0.998,0.832,0.025
"190","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized",1,0.001,0.999,0.828,0.027
"191","firstyr_bully2_act ~ victim_3group_act+ victim_3group_rel+ school_PR+ q68_a+ q22_0_a+ firstrses_standardized+ bis1_standardized",1,0.001,1,0.824,0.025
